status,direction,option_type,strike,expiry,entry_ts,exit_ts,entry_price,exit_price,sl_price,target_price,exit_reason,gross_pnl,charges,net_pnl,qty,lots,spot_at_entry,delta_at_entry,iv_at_entry,vix,trade_date,entry_slippage_pct,otm_offset,strategy,risk_multiplier,regime
COMPLETED,CALL,CE,24900,2025-06-26,2025-06-20T10:00:00,2025-06-20T10:15:00,66.32,107.79,46.43,109.43,TARGET_HIT,2695.47,58.8,2636.67,65,1,24876.6,0.4633,0.1259,12.59,2025-06-26,1.5,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,25000,2025-07-03,2025-06-20T11:30:00,2025-06-20T15:15:00,198.27,244.08,138.79,327.14,FORCE_EXIT,2977.63,75.52,2902.11,65,1,25016.35,0.5476,0.1239,12.39,2025-06-27,0.5,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,25250,2025-07-03,2025-06-24T11:00:00,2025-06-24T12:35:00,139.7,139.28,97.79,230.5,SL_HIT,-27.33,64.49,-91.82,65,1,25235.55,0.5075,0.1279,12.79,2025-06-30,0.5,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,25300,2025-07-03,2025-06-24T12:05:00,2025-06-24T12:35:00,122.48,85.05,85.74,202.09,SL_HIT,-2432.96,59.35,-2492.3,65,1,25306.25,0.5294,0.1253,12.53,2025-07-01,0.8,0,EMA_PULLBACK,0.85,BULL_PULLBACK
COMPLETED,PUT,PE,25250,2025-07-17,2025-07-11T10:10:00,2025-07-11T11:10:00,119.19,143.0,83.43,196.67,SL_HIT,1547.38,63.92,1483.46,65,1,25256.75,-0.4657,0.1198,11.98,2025-07-14,0.5,0,EMA_PULLBACK,1.0,BEAR_PULLBACK
COMPLETED,PUT,PE,25250,2025-07-17,2025-07-11T10:10:00,2025-07-11T11:10:00,100.17,128.02,70.12,165.29,SL_HIT,1810.02,61.89,1748.13,65,1,25256.75,-0.4666,0.1148,11.48,2025-07-15,0.8,0,EMA_PULLBACK,1.0,BEAR_PULLBACK
COMPLETED,PUT,PE,25250,2025-07-17,2025-07-11T10:10:00,2025-07-11T11:05:00,81.85,133.57,57.3,135.06,TARGET_HIT,3361.77,61.56,3300.21,65,1,25256.75,-0.4681,0.1124,11.24,2025-07-16,1.1,0,EMA_PULLBACK,1.0,BEAR_PULLBACK
COMPLETED,CALL,CE,25200,2025-07-17,2025-07-16T12:30:00,2025-07-16T13:30:00,53.59,39.39,40.2,88.43,SL_HIT,-923.17,52.69,-975.86,65,1,25203.7,0.523,0.1124,11.24,2025-07-17,1.5,0,VWAP_RECLAIM,0.85,SKIP_RANGING
COMPLETED,PUT,PE,24900,2025-07-31,2025-07-25T10:05:00,2025-07-25T10:40:00,78.36,90.7,54.85,129.3,SL_HIT,801.62,57.92,743.7,65,1,24911.9,-0.4585,0.1121,11.21,2025-07-30,1.1,0,EMA_PULLBACK,0.85,BEAR_PULLBACK
COMPLETED,CALL,CE,24850,2025-08-07,2025-07-31T12:15:00,2025-07-31T14:25:00,174.97,174.44,131.23,288.7,SL_HIT,-34.23,68.86,-103.09,65,1,24840.25,0.5236,0.1198,11.98,2025-08-01,0.5,0,VWAP_RECLAIM,0.6,SKIP_RANGING
COMPLETED,CALL,CE,24850,2025-08-07,2025-07-31T12:15:00,2025-07-31T13:50:00,125.91,155.96,94.43,207.75,SL_HIT,1953.12,65.26,1887.86,65,1,24840.25,0.5119,0.1197,11.97,2025-08-04,0.5,0,VWAP_RECLAIM,0.6,SKIP_RANGING
