status,direction,option_type,strike,expiry,entry_ts,exit_ts,entry_price,exit_price,sl_price,target_price,exit_reason,gross_pnl,charges,net_pnl,qty,lots,spot_at_entry,delta_at_entry,iv_at_entry,vix,trade_date,entry_slippage_pct,otm_offset,strategy,risk_multiplier,regime
COMPLETED,CALL,CE,24950,2025-10-09,2025-10-06T09:55:00,2025-10-06T13:30:00,89.97,146.82,62.98,148.45,TARGET_HIT,3695.09,62.98,3632.11,65,1,24953.6,0.5287,0.1031,10.31,2025-10-08,1.1,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,24950,2025-10-09,2025-10-06T09:35:00,2025-10-06T10:45:00,54.37,66.88,38.06,89.71,SL_HIT,813.38,54.96,758.42,65,1,24926.85,0.4573,0.1012,10.12,2025-10-09,1.5,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,24950,2025-10-09,2025-10-06T09:55:00,2025-10-06T11:15:00,65.73,78.95,46.01,108.46,SL_HIT,859.06,56.43,802.64,65,1,24953.6,0.526,0.1012,10.12,2025-10-09,1.5,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,25150,2025-10-16,2025-10-09T11:45:00,2025-10-09T11:55:00,69.78,47.87,48.85,115.14,SL_HIT,-1424.29,54.07,-1478.36,65,1,25174.7,0.5859,0.1087,10.87,2025-10-16,1.5,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,25250,2025-10-16,2025-10-10T09:30:00,2025-10-10T10:35:00,72.02,71.08,50.41,118.83,SL_HIT,-60.99,56.06,-117.05,65,1,25250.4,0.517,0.1087,10.87,2025-10-16,1.5,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,25250,2025-10-23,2025-10-15T10:10:00,2025-10-15T14:00:00,117.23,141.7,82.06,193.43,SL_HIT,1590.57,63.73,1526.84,65,1,25251.25,0.5258,0.113,11.3,2025-10-21,0.8,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,25450,2025-10-23,2025-10-16T10:00:00,2025-10-16T14:35:00,115.06,188.33,80.54,189.85,TARGET_HIT,4762.68,67.43,4695.25,65,1,25443.95,0.5153,0.113,11.3,2025-10-21,0.8,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,26100,2025-10-30,2025-10-23T10:35:00,2025-10-23T12:55:00,92.41,63.97,64.68,152.47,SL_HIT,-1848.16,56.35,-1904.51,65,1,26080.55,0.4863,0.1197,11.97,2025-10-29,1.1,0,EMA_PULLBACK,0.85,BULL_PULLBACK
COMPLETED,CALL,CE,26000,2025-10-30,2025-10-29T10:20:00,2025-10-29T10:50:00,109.71,108.72,76.8,181.02,SL_HIT,-64.34,60.73,-125.06,65,1,26012.0,0.5384,0.1197,11.97,2025-10-29,1.1,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,26000,2025-10-30,2025-10-29T10:20:00,2025-10-29T10:45:00,82.04,91.13,57.43,135.37,SL_HIT,590.79,58.11,532.68,65,1,26012.0,0.5402,0.1207,12.07,2025-10-30,1.5,0,EMA_PULLBACK,1.0,BULL_PULLBACK
